솔브레인,268.57
BGF,99.79
STX,75.07
APS홀딩스,74.85
제일파마홀딩스,74.54
휴온스글로벌,60.17
지누스,54.18
오리온홀딩스,53.01
일동홀딩스,41.61
효성,39.27
삼양옵틱스,37.75
클래시스,35.34
이녹스,34.49
디알젬,30.88
STX중공업,30.76
쿠쿠홀딩스,30.7
코웨이,29.64
상상인,28.99
한국쉘석유,27.9
HDC,27.45
SK머티리얼즈,27.44
이크레더블,27.01
코세스,26.83
고려신용정보,26.8
메디톡스,26.61
펄어비스,26.58
BGF리테일,25.94
에이피티씨,25.51
골프존,25.02
코미코,24.59
하나머티리얼즈,24.42
케이씨,24.41
휴온스,24.32
노바텍,23.8
콜마비앤에이치,23.18
DB하이텍,23.04
티씨케이,22.59
삼화콘덴서,22.58
삼호,22.13
제노레이,21.57
오션브릿지,21.01
에코마케팅,20.98
해마로푸드서비스,20.8
아프리카TV,20.78
한솔로지스틱스,20.66
유니테스트,20.64
LG생활건강,20.43
부방,20.41
현대통신,20.4
코웰패션,20.2
크라운해태홀딩스,20.06
네오팜,19.99
원익IPS,19.81
바텍,19.81
대유에이피,19.8
F&F,19.69
엠케이전자,19.63
에스티아이,19.62
더존비즈온,19.59
한신공영,19.45
한양이엔지,19.32
SK하이닉스,19.3
에스에이엠티,19.02
원익홀딩스,18.98
진로발효,18.9
대한약품,18.86
한국자산신탁,18.76
한전산업,18.75
제이스텍,18.71
피에스케이홀딩스,18.71
에이치엘사이언스,18.7
이녹스첨단소재,18.64
이엘피,18.61
한솔케미칼,18.53
리노공업,18.4
뉴트리,18.38
크린앤사이언스,18.3
한국토지신탁,18.26
NICE평가정보,18.24
신세계건설,18.22
나이스정보통신,18.06
한국기업평가,18.06
한국아트라스비엑스,18.05
서한,18.05
유비쿼스홀딩스,18.05
컴투스,17.99
슈피겐코리아,17.97
뷰웍스,17.97
포스코엠텍,17.96
SK디스커버리,17.95
쎌바이오텍,17.92
한독크린텍,17.88
나이스디앤비,17.87
한샘,17.74
다나와,17.47
아이에스동서,17.47
디케이티,17.36
후성,17.35
테스,17.23
유비쿼스,17.19
인바디,17.12
컴퍼니케이,17.11
동원개발,17.07
JW생명과학,17.02
에스에프에이,16.89
효성ITX,16.8
심텍홀딩스,16.76
나노스,16.65
씨앤지하이테크,16.57
티에이치엔,16.52
디바이스이엔지,16.45
JYPEnt.,16.42
인터로조,16.41
파워넷,16.38
웹젠,16.31
야스,16.23
SG,16.23
노바렉스,16.18
유니셈,16.17
고영,16.16
파크시스템스,16.11
매일유업,16.11
이엔에프테크놀로지,16.11
동진쎄미켐,16.03
멀티캠퍼스,15.97
양지사,15.92
애경유화,15.89
HDC현대산업개발,15.86
메디앙스,15.85
비에이치,15.81
주성엔지니어링,15.78
NAVER,15.71
민앤지,15.66
동국제약,15.61
케이씨텍,15.6
엔씨소프트,15.6
한전KPS,15.49
미원에스씨,15.48
KGETS,15.45
나스미디어,15.43
원익QnC,15.42
사람인에이치알,15.23
GKL,15.21
SK디앤디,15.05
액트로,14.97
톱텍,14.96
KMH,14.87
테크윙,14.82
유니트론텍,14.67
한창제지,14.65
화승인더,14.63
한국정보통신,14.62
효성티앤씨,14.6
샘표식품,14.59
미원홀딩스,14.54
KCI,14.53
와이엠티,14.51
토탈소프트,14.49
코엔텍,14.47
조선선재,14.4
금화피에스시,14.38
KT&G,14.37
더블유게임즈,14.35
메리츠금융지주,14.34
동원시스템즈,14.34
삼진제약,14.27
웹케시,14.18
메리츠화재,14.12
레이,14.11
인크로스,14.06
계룡건설,14.03
디엔에프,14.02
키움증권,13.98
대한유화,13.97
애경산업,13.97
디에이치피코리아,13.96
미래컴퍼니,13.93
GST,13.92
케이아이엔엑스,13.89
코스맥스,13.88
삼양식품,13.87
디앤씨미디어,13.85
엠에스씨,13.83
씨젠,13.79
프로텍,13.78
에프에스티,13.75
NHN한국사이버결제,13.71
삼성전자,13.71
모베이스,13.69
피앤이솔루션,13.65
참좋은여행,13.63
AP시스템,13.62
한미반도체,13.61
제일기획,13.54
한국콜마,13.54
메리츠종금증권,13.47
한온시스템,13.47
신흥에스이씨,13.45
바른손이앤에이,13.45
덴티움,13.39
DMS,13.37
남선알미늄,13.37
미원화학,13.35
한일홀딩스,13.32
메디아나,13.31
국보디자인,13.3
서희건설,13.3
아이씨디,13.25
SK,13.25
우리산업,13.25
비츠로셀,13.24
진성티이씨,13.24
한일네트웍스,13.19
휠라홀딩스,13.17
와이엠씨,13.12
한국경제TV,13.11
인포바인,13.09
롯데케미칼,13.07
디와이파워,13.07
서호전기,13.07
엘앤씨바이오,13.05
일진파워,13.02
현대글로비스,13.01
하이비젼시스템,13.0
브이원텍,12.99
휴켐스,12.94
대덕전자,12.89
슈프리마,12.88
화승엔터프라이즈,12.87
보광산업,12.86
코리아에셋투자증권,12.85
힘스,12.84
KB오토시스,12.84
미원상사,12.79
펌텍코리아,12.78
코리아오토글라스,12.75
DSC인베스트먼트,12.73
에이텍,12.72
유나이티드제약,12.71
아바코,12.68
매커스,12.59
HB테크놀러지,12.59
선진,12.52
푸드웰,12.46
쿠쿠홈시스,12.46
태영건설,12.46
범양건영,12.45
하나제약,12.44
서플러스글로벌,12.24
크라운제과,12.21
롯데정보통신,12.1
비즈니스온,12.08
크리스에프앤씨,12.04
동양피엔에프,12.0
아시아경제,12.0
씨엠에스에듀,11.99
월덱스,11.98
효성화학,11.98
대현,11.94
삼지전자,11.94
동남합성,11.94
까뮤이앤씨,11.93
동구바이오제약,11.88
미투온,11.87
휴니드,11.81
윈스,11.8
